song	track	duration	voc_estimated	instr_estimated	other_estimated	voc_oracle	instr_oracle	other_oracle
00edc2f4-d200-426e-954b-705fe727931e	0224dddb-0531-4a07-a465-e9f63c7cd68c.ogg	210				0	1	0
00edc2f4-d200-426e-954b-705fe727931e	091684ea-60a7-4286-a030-ed0b60c606c6.ogg	210				1	0	0
00edc2f4-d200-426e-954b-705fe727931e	39fa9100-a1b6-4687-91b9-bb752e8601e4.ogg	210				0	1	0
00edc2f4-d200-426e-954b-705fe727931e	3e1ff76a-cbee-47f7-82cf-9160ea1f8e28.ogg	210				1	0	0
00edc2f4-d200-426e-954b-705fe727931e	4cbec765-d146-4650-8251-5c0ece15e287.ogg	210				0	1	0
00edc2f4-d200-426e-954b-705fe727931e	8e91b4a6-3b9d-4538-9cc6-945444151de1.ogg	210				0	1	0
00edc2f4-d200-426e-954b-705fe727931e	a26e1d1d-a224-4f47-830f-7d6a334906a6.ogg	210						
00edc2f4-d200-426e-954b-705fe727931e	ab794c94-af31-4c93-b3f0-a38796b96681.ogg	210						
00edc2f4-d200-426e-954b-705fe727931e	ba670c7e-3e05-4977-bd0e-651c2af60beb.ogg	210						
00edc2f4-d200-426e-954b-705fe727931e	d4a834d1-46c4-4269-bd0a-2d9855923cdf.ogg	210						
00edc2f4-d200-426e-954b-705fe727931e	db9fa6a2-1d37-4760-b4a1-b67dac00fdc7.ogg	210						
00edc2f4-d200-426e-954b-705fe727931e	dcd73805-0089-448b-a604-7d0f4b926902.ogg	210						
00edc2f4-d200-426e-954b-705fe727931e	dfa3d878-7850-4ce2-aff5-e5468fa470a1.ogg	210						
00edc2f4-d200-426e-954b-705fe727931e	e8defc6d-2620-4311-8799-3c71fcb2ec34.ogg	210						
00edc2f4-d200-426e-954b-705fe727931e	eb8f3788-3511-438c-9513-80c22c203241.ogg	210						
012b4073-0c5b-41cd-af24-8cbe1efc9032	0a5d56fd-7866-4e77-84b1-082de0e08bd8.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	0b804054-a050-4778-8dca-5f10215f46e6.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	1f9458f7-5108-44bc-9b20-d9e8f5a0e07c.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	22aab978-5377-4301-9231-722343ced28d.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	3d73205b-d50c-4b8a-949c-22bef61fdb38.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	4088d7a4-dba9-41e7-8caa-7e124f728848.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	57b8e104-64ad-4d0e-9483-fe097efd95a7.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	598d960d-1898-4080-9e95-4369bb62a109.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	5b7893d8-c6ac-48fa-9476-76a1bbe9b2d1.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	5e3f1121-3794-408b-a6a5-edad0e9e2db2.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	691f7d0f-cb61-4cec-b9db-8268e7a9bdd8.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	79bedaff-05d6-4132-bd40-61456312311d.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	887a08b7-7e58-4ccd-9e8c-2bb1f7b261c0.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	a2173e79-be07-409a-accb-4a07bf4925fb.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	b8543666-74c7-4d71-935e-797e2e1d69cd.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	eae11ddd-76d9-4531-981a-fa5475abc6a3.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	fac4a94f-4af0-45e7-a4af-ebb907bdfec4.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	fb68c30d-caa8-40ea-b291-b0a9ceed982a.ogg	230						
012b4073-0c5b-41cd-af24-8cbe1efc9032	fbfd353c-3ffc-4797-bfbf-b3537f129ce4.ogg	230						
01463bdf-8fd7-4a03-9be2-33ebb11207fe	1d85f547-d4ad-451b-9ec2-435203d525ee.ogg	20						
01463bdf-8fd7-4a03-9be2-33ebb11207fe	3248a824-43e5-489b-8507-d0bcf65d89ad.ogg	20						
